"site";"month";"coreID";"taxaf";"numb"
"AD";10;"C11T0";"Afruca_tangeri";2
"AD";3;"C11T1";"Afruca_tangeri";0
"AD";10;"C11T2";"Afruca_tangeri";0
"AD";10;"C12T0";"Afruca_tangeri";0
"AD";3;"C12T1";"Afruca_tangeri";0
"AD";10;"C12T2";"Afruca_tangeri";0
"AD";3;"C13T1";"Afruca_tangeri";0
"AD";10;"C13T2";"Afruca_tangeri";0
"AD";10;"C14T2";"Afruca_tangeri";0
"AD";3;"C15T1";"Afruca_tangeri";0
"AD";10;"C15T2";"Afruca_tangeri";0
"AD";10;"C16T0";"Afruca_tangeri";0
"AD";3;"C16T1";"Afruca_tangeri";0
"AD";10;"C16T2";"Afruca_tangeri";0
"AD";3;"C21T1";"Afruca_tangeri";0
"AD";10;"C21T2";"Afruca_tangeri";0
"AD";10;"C22T0";"Afruca_tangeri";0
"AD";3;"C22T1";"Afruca_tangeri";0
"AD";10;"C22T2";"Afruca_tangeri";0
"AD";10;"C23T2";"Afruca_tangeri";0
"AD";10;"C24T0";"Afruca_tangeri";0
"AD";3;"C24T1";"Afruca_tangeri";0
"AD";10;"C24T2";"Afruca_tangeri";0
"AD";10;"C25T0";"Afruca_tangeri";0
"AD";3;"C25T1";"Afruca_tangeri";0
"AD";10;"C25T2";"Afruca_tangeri";0
"AD";3;"C26T1";"Afruca_tangeri";0
"AD";10;"C26T2";"Afruca_tangeri";0
"A";2;"C2A1";"Afruca_tangeri";0
"A";2;"C2A10";"Afruca_tangeri";0
"A";2;"C2A11";"Afruca_tangeri";0
"A";2;"C2A12";"Afruca_tangeri";0
"A";2;"C2A13";"Afruca_tangeri";0
"A";2;"C2A14";"Afruca_tangeri";0
"A";2;"C2A15";"Afruca_tangeri";0
"A";2;"C2A16";"Afruca_tangeri";0
"A";2;"C2A2";"Afruca_tangeri";0
"A";2;"C2A3";"Afruca_tangeri";0
"A";2;"C2A4";"Afruca_tangeri";0
"A";2;"C2A5";"Afruca_tangeri";0
"A";2;"C2A6";"Afruca_tangeri";0
"A";2;"C2A7";"Afruca_tangeri";0
"A";2;"C2A8";"Afruca_tangeri";0
"A";2;"C2A9";"Afruca_tangeri";0
"AB";2;"C2AB1";"Afruca_tangeri";0
"AB";2;"C2AB10";"Afruca_tangeri";0
"AB";2;"C2AB11";"Afruca_tangeri";0
"AB";2;"C2AB12";"Afruca_tangeri";1
"AB";2;"C2AB13";"Afruca_tangeri";0
"AB";2;"C2AB14";"Afruca_tangeri";1
"AB";2;"C2AB15";"Afruca_tangeri";2
"AB";2;"C2AB16";"Afruca_tangeri";0
"AB";2;"C2AB2";"Afruca_tangeri";0
"AB";2;"C2AB3";"Afruca_tangeri";0
"AB";2;"C2AB4";"Afruca_tangeri";0
"AB";2;"C2AB5";"Afruca_tangeri";0
"AB";2;"C2AB6";"Afruca_tangeri";0
"AB";2;"C2AB7";"Afruca_tangeri";0
"AB";2;"C2AB8";"Afruca_tangeri";0
"AB";2;"C2AB9";"Afruca_tangeri";0
"BI";3;"C2BI1";"Afruca_tangeri";0
"BI";3;"C2BI10";"Afruca_tangeri";1
"BI";3;"C2BI11";"Afruca_tangeri";0
"BI";3;"C2BI12";"Afruca_tangeri";0
"BI";3;"C2BI13";"Afruca_tangeri";0
"BI";3;"C2BI14";"Afruca_tangeri";0
"BI";3;"C2BI15";"Afruca_tangeri";0
"BI";3;"C2BI16";"Afruca_tangeri";0
"BI";3;"C2BI2";"Afruca_tangeri";0
"BI";3;"C2BI3";"Afruca_tangeri";0
"BI";3;"C2BI4";"Afruca_tangeri";0
"BI";3;"C2BI5";"Afruca_tangeri";1
"BI";3;"C2BI6";"Afruca_tangeri";0
"BI";3;"C2BI7";"Afruca_tangeri";0
"BI";3;"C2BI8";"Afruca_tangeri";0
"BI";3;"C2BI9";"Afruca_tangeri";0
"BR";3;"C2BR1";"Afruca_tangeri";0
"BR";3;"C2BR10";"Afruca_tangeri";0
"BR";3;"C2BR11";"Afruca_tangeri";0
"BR";3;"C2BR12";"Afruca_tangeri";0
"BR";3;"C2BR13";"Afruca_tangeri";0
"BR";3;"C2BR14";"Afruca_tangeri";0
"BR";3;"C2BR15";"Afruca_tangeri";0
"BR";3;"C2BR16";"Afruca_tangeri";0
"BR";3;"C2BR2";"Afruca_tangeri";0
"BR";3;"C2BR3";"Afruca_tangeri";0
"BR";3;"C2BR4";"Afruca_tangeri";1
"BR";3;"C2BR5";"Afruca_tangeri";0
"BR";3;"C2BR6";"Afruca_tangeri";0
"BR";3;"C2BR7";"Afruca_tangeri";0
"BR";3;"C2BR8";"Afruca_tangeri";0
"BR";3;"C2BR9";"Afruca_tangeri";0
"E";3;"C2E1";"Afruca_tangeri";3
"E";3;"C2E10";"Afruca_tangeri";0
"E";3;"C2E11";"Afruca_tangeri";0
"E";3;"C2E12";"Afruca_tangeri";0
"E";3;"C2E13";"Afruca_tangeri";2
"E";3;"C2E14";"Afruca_tangeri";0
"E";3;"C2E15";"Afruca_tangeri";0
"E";3;"C2E16";"Afruca_tangeri";0
"E";3;"C2E2";"Afruca_tangeri";0
"E";3;"C2E3";"Afruca_tangeri";0
"E";3;"C2E4";"Afruca_tangeri";0
"E";3;"C2E5";"Afruca_tangeri";0
"E";3;"C2E6";"Afruca_tangeri";1
"E";3;"C2E7";"Afruca_tangeri";0
"E";3;"C2E8";"Afruca_tangeri";1
"E";3;"C2E9";"Afruca_tangeri";0
"AD";10;"C31T0";"Afruca_tangeri";0
"AD";3;"C31T1";"Afruca_tangeri";0
"AD";10;"C31T2";"Afruca_tangeri";0
"AD";10;"C32T0";"Afruca_tangeri";0
"AD";3;"C32T1";"Afruca_tangeri";0
"AD";10;"C32T2";"Afruca_tangeri";0
"AD";10;"C33T0";"Afruca_tangeri";0
"AD";3;"C33T1";"Afruca_tangeri";1
"AD";10;"C33T2";"Afruca_tangeri";0
"AD";3;"C34T1";"Afruca_tangeri";0
"AD";10;"C34T2";"Afruca_tangeri";0
"AD";3;"C35T1";"Afruca_tangeri";0
"AD";10;"C35T2";"Afruca_tangeri";0
"AD";3;"C36T1";"Afruca_tangeri";0
"AD";10;"C36T2";"Afruca_tangeri";0
"A";10;"C3A1";"Afruca_tangeri";0
"A";10;"C3A10";"Afruca_tangeri";0
"A";10;"C3A11";"Afruca_tangeri";1
"A";10;"C3A12";"Afruca_tangeri";0
"A";10;"C3A2";"Afruca_tangeri";0
"A";10;"C3A3";"Afruca_tangeri";0
"A";10;"C3A4";"Afruca_tangeri";0
"A";10;"C3A5";"Afruca_tangeri";0
"A";10;"C3A6";"Afruca_tangeri";0
"A";10;"C3A7";"Afruca_tangeri";0
"A";10;"C3A8";"Afruca_tangeri";0
"A";10;"C3A9";"Afruca_tangeri";0
"AB";11;"C3AB1";"Afruca_tangeri";0
"AB";11;"C3AB10";"Afruca_tangeri";0
"AB";11;"C3AB11";"Afruca_tangeri";0
"AB";11;"C3AB12";"Afruca_tangeri";1
"AB";11;"C3AB2";"Afruca_tangeri";0
"AB";11;"C3AB3";"Afruca_tangeri";0
"AB";11;"C3AB4";"Afruca_tangeri";0
"AB";11;"C3AB5";"Afruca_tangeri";0
"AB";11;"C3AB6";"Afruca_tangeri";0
"AB";11;"C3AB7";"Afruca_tangeri";0
"AB";11;"C3AB8";"Afruca_tangeri";0
"AB";11;"C3AB9";"Afruca_tangeri";0
"BI";10;"C3BI1";"Afruca_tangeri";0
"BI";10;"C3BI10";"Afruca_tangeri";0
"BI";10;"C3BI11";"Afruca_tangeri";0
"BI";10;"C3BI12";"Afruca_tangeri";0
"BI";10;"C3BI2";"Afruca_tangeri";0
"BI";10;"C3BI3";"Afruca_tangeri";0
"BI";10;"C3BI4";"Afruca_tangeri";0
"BI";10;"C3BI5";"Afruca_tangeri";0
"BI";10;"C3BI6";"Afruca_tangeri";0
"BI";10;"C3BI7";"Afruca_tangeri";0
"BI";10;"C3BI8";"Afruca_tangeri";1
"BI";10;"C3BI9";"Afruca_tangeri";0
"BR";10;"C3BR1";"Afruca_tangeri";0
"BR";10;"C3BR10";"Afruca_tangeri";0
"BR";10;"C3BR11";"Afruca_tangeri";0
"BR";10;"C3BR12";"Afruca_tangeri";0
"BR";10;"C3BR2";"Afruca_tangeri";0
"BR";10;"C3BR3";"Afruca_tangeri";0
